id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
104	"Application of nanotechnology in agriculture, postharvest loss reduction and food processing: food security implication and challenges"	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0144-3577</td></tr><tr></tr></table>	0.9772	-0.0235	3	41	133	95	1.054
105	Global Food Security: Challenges and Policies	<table><tr><td>Journal:</td><td>JOURNAL OF ACCOUNTING RESEARCH</td></tr><tr><td>ISSN:</td><td>0021-8456</td></tr><tr></tr></table>	-0.97	0.8847	5	25	142	94	2.115
106	Attitudes in China about Crops and Foods Developed by Biotechnology	<table><tr><td>Journal:</td><td>INTERNATIONAL ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0020-6598</td></tr><tr></tr></table>	-0.8349	-0.3051	1	39	84	92	0.917
107	Biotechnology in South Africa	<table><tr><td>Journal:</td><td>JOURNAL OF CORPORATE FINANCE</td></tr><tr><td>ISSN:</td><td>0929-1199</td></tr><tr></tr></table>	-0.8065	0.6181	5	30	102	92	1.354
108	"Nutrients, Foods, Diets, People: Promoting Healthy Eating"	<table><tr><td>Journal:</td><td>ECONOMY AND SOCIETY</td></tr><tr><td>ISSN:</td><td>0308-5147</td></tr><tr></tr></table>	-0.1198	0.0661	1	13	37	91	1.678
109	Africa's inevitable walk to genetically modified (GM) crops: opportunities and challenges for commercialization	<table><tr><td>Journal:</td><td>INFORMATION SYSTEMS RESEARCH</td></tr><tr><td>ISSN:</td><td>1047-7047</td></tr><tr></tr></table>	1.0575	-0.1671	4	33	107	91	2.682
110	Codex Alimentarius commission on ensuring food safety and promoting fair trade: harmonization of standards between Korea and codex	<table><tr><td>Journal:</td><td>JOURNAL OF LABOR ECONOMICS</td></tr><tr><td>ISSN:</td><td>0734-306X</td></tr><tr></tr></table>	-0.4532	-0.0703	1	32	52	90	1.473
111	Interdisciplinary Food-Related Academic Programs: A 2015 Snapshot of the United States Landscape	<table><tr><td>Journal:</td><td>WORLD ECONOMY</td></tr><tr><td>ISSN:</td><td>0378-5920</td></tr><tr></tr></table>	-0.7125	-0.1443	1	20	31	90	0.715
112	Acceptability of GM foods among Pakistani consumers	<table><tr><td>Journal:</td><td>APPLIED ECONOMICS LETTERS</td></tr><tr><td>ISSN:</td><td>1350-4851</td></tr><tr></tr></table>	-0.5913	-0.3114	1	28	47	88	0.294
113	Getting an Imported GM Crop Approved in China	<table><tr><td>Journal:</td><td>REVIEW OF INTERNATIONAL POLITICAL ECONOMY</td></tr><tr><td>ISSN:</td><td>0969-2290</td></tr><tr></tr></table>	-0.1762	0.0493	1	24	57	88	1
114	Evolving regulatory policies regarding food enzymes produced by recombinant microorganisms	<table><tr><td>Journal:</td><td>CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE</td></tr><tr><td>ISSN:</td><td>0008-4085</td></tr><tr></tr></table>	-0.733	-0.2632	1	37	81	87	0.54
115	Relevance of chemistry to white biotechnology	<table><tr><td>Journal:</td><td>INDUSTRIAL AND CORPORATE CHANGE</td></tr><tr><td>ISSN:</td><td>0960-6491</td></tr><tr></tr></table>	-0.0992	0.2249	1	72	132	85	1.325
116	Tackling Fraudsters with Global Strategies to Expose Fraud in the Food Chain	<table><tr><td>Journal:</td><td>PRODUCTION AND OPERATIONS MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1059-1478</td></tr><tr></tr></table>	0.8468	-0.2311	3	40	94	85	2.123
117	"Current state and prospects of biotechnology in Central and Eastern European countries. Part I: Visegrad countries (CZ, H, PL, SK)"	<table><tr><td>Journal:</td><td>BRITISH JOURNAL OF MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1045-3172</td></tr><tr></tr></table>	0.2105	0.5747	2	50	102	84	1.534
118	Elderly Perception of Distance to the Grocery Store as a Reason for Feeling Food Insecurity—Can Food Policy Limit This?	<table><tr><td>Journal:</td><td>FUTURES</td></tr><tr><td>ISSN:</td><td>0016-3287</td></tr><tr></tr></table>	0.0487	0.1478	1	16	19	82	0.843
119	Gaining Acceptance of Novel Plant Breeding Technologies	<table><tr><td>Journal:</td><td>ENERGY JOURNAL</td></tr><tr><td>ISSN:</td><td>0195-6574</td></tr><tr></tr></table>	-0.3207	-0.2198	1	29	51	81	1.575
120	Data Science in the Food Industry	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC PSYCHOLOGY</td></tr><tr><td>ISSN:</td><td>0167-4870</td></tr><tr></tr></table>	0.097	-0.2396	4	40	67	81	0.9
121	Green biotechnology and European competitiveness	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT EXECUTIVE</td></tr><tr><td>ISSN:</td><td>0896-3789</td></tr><tr></tr></table>	0.7694	0.5293	2	45	101	81	1.61
122	Determinants of Public Attitudes to Genetically Modified Salmon	<table><tr><td>Journal:</td><td>PUBLIC CHOICE</td></tr><tr><td>ISSN:</td><td>0048-5829</td></tr><tr></tr></table>	-0.3032	-0.217	1	30	39	81	0.527
123	"Recent trends in detecting, controlling, and detoxifying of patulin mycotoxin using biotechnology methods"	<table><tr><td>Journal:</td><td>OXFORD BULLETIN OF ECONOMICS AND STATISTICS</td></tr><tr><td>ISSN:</td><td>0305-9049</td></tr><tr></tr></table>	-0.6983	-0.2596	1	32	65	79	0.732
124	Shock and Awe in the UNFSS	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY</td></tr><tr><td>ISSN:</td><td>1058-6407</td></tr><tr></tr></table>	-0.3734	-0.1657	1	31	56	79	0.875
125	Molecular techniques reveal more secrets of fermented foods	<table><tr><td>Journal:</td><td>JOURNAL OF THE ACADEMY OF MARKETING SCIENCE</td></tr><tr><td>ISSN:</td><td>0092-0703</td></tr><tr></tr></table>	0.7995	0.1602	4	38	108	78	1.18
126	Prudently conduct the engineering and synthesis of the SARS-CoV-2 virus	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS & ECONOMIC STATISTICS</td></tr><tr><td>ISSN:</td><td>0735-0015</td></tr><tr></tr></table>	-0.8499	-0.3644	1	28	56	77	1.129
127	Processed foods: contributions to nutrition	<table><tr><td>Journal:</td><td>MIT SLOAN MANAGEMENT REVIEW</td></tr><tr><td>ISSN:</td><td>1532-9194</td></tr><tr></tr></table>	0.9249	0.246	2	43	86	76	0.849
128	Orphan crops at the food for future conference	<table><tr><td>Journal:</td><td>REGIONAL SCIENCE AND URBAN ECONOMICS</td></tr><tr><td>ISSN:</td><td>0166-0462</td></tr><tr></tr></table>	-0.1803	-0.4085	1	33	47	76	0.885
129	Short communication: A food-systems approach to assessing dairy product waste	<table><tr><td>Journal:</td><td>REVIEW OF ECONOMIC DYNAMICS</td></tr><tr><td>ISSN:</td><td>1094-2025</td></tr><tr></tr></table>	-0.9594	-0.4213	1	30	102	76	0.972
130	Food safety and sanitation challenges of public university students in a developing country	<table><tr><td>Journal:</td><td>JOURNAL OF DEVELOPMENT STUDIES</td></tr><tr><td>ISSN:</td><td>0022-0388</td></tr><tr></tr></table>	-0.587	-0.1221	1	11	20	75	0.686
131	Biofuels and the role of space in sustainable innovation journeys☆	<table><tr><td>Journal:</td><td>LAND ECONOMICS</td></tr><tr><td>ISSN:</td><td>0023-7639</td></tr><tr></tr></table>	-0.181	-0.3595	1	20	39	75	1.042
132	Harnessing microbiome‐based biotechnologies for sustainable mitigation of nitrous oxide emissions	<table><tr><td>Journal:</td><td>JOURNAL OF CONSUMER PSYCHOLOGY</td></tr><tr><td>ISSN:</td><td>1057-7408</td></tr><tr></tr></table>	0.5135	0.1125	4	15	42	74	1.72
133	Orphan crops for future food security	<table><tr><td>Journal:</td><td>CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW</td></tr><tr><td>ISSN:</td><td>0964-8410</td></tr><tr></tr></table>	-0.348	0.4897	5	50	101	74	1.59
134	Woke Science and the 4th Industrial Revolution: Inside the Making of UNFSS Knowledge	<table><tr><td>Journal:</td><td>FEDERAL RESERVE BANK OF ST LOUIS REVIEW</td></tr><tr><td>ISSN:</td><td>0014-9187</td></tr><tr></tr></table>	-0.6623	-0.2168	1	29	54	72	0.536
135	Genetically Modified Crops and Food Security	<table><tr><td>Journal:</td><td>FOOD POLICY</td></tr><tr><td>ISSN:</td><td>0306-9192</td></tr><tr></tr></table>	-0.0706	-0.0217	1	11	19	72	1.056
136	Advances and prospective applications of 3D food printing for health improvement and personalized nutrition	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS FINANCE & ACCOUNTING</td></tr><tr><td>ISSN:</td><td>0306-686X</td></tr><tr></tr></table>	-0.8137	0.719	5	35	95	72	0.692
137	Exploring the Resource Value of Transvaal Red Milk Wood (Mimusops zeyheri) for Food Security and Sustainability: An Appraisal of Existing Evidence	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC SURVEYS</td></tr><tr><td>ISSN:</td><td>0950-0804</td></tr><tr></tr></table>	-0.5205	-0.1861	1	38	54	71	0.797
138	"Food Safety Incident, Public Health Concern, and Risk Spillover Heterogeneity: Avian Influenza Shocks as Natural Experiments in China’s Consumer Markets"	<table><tr><td>Journal:</td><td>INTERNATIONAL BUSINESS REVIEW</td></tr><tr><td>ISSN:</td><td>0969-5931</td></tr><tr></tr></table>	0.7145	0.5213	2	26	77	70	1.056
139	Food Composition Databases: Does It Matter to Human Health?	<table><tr><td>Journal:</td><td>ACCOUNTING ORGANIZATIONS AND SOCIETY</td></tr><tr><td>ISSN:</td><td>0361-3682</td></tr><tr></tr></table>	-0.042	0.4485	2	33	52	69	1.032
140	"Biotechnology in Switzerland: high on the public agenda, but only moderate support"	<table><tr><td>Journal:</td><td>SMALL BUSINESS ECONOMICS</td></tr><tr><td>ISSN:</td><td>0921-898X</td></tr><tr></tr></table>	-0.0262	0.1934	1	28	60	69	1.168
141	Thirty years of European biotechnology programmes: from biomolecular engineering to the bioeconomy☆	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION</td></tr><tr><td>ISSN:</td><td>0167-7187</td></tr><tr></tr></table>	-0.4154	-0.1292	1	22	31	69	0.464
142	The legacy of nuclear risk and the founder effect in biotechnology organizations	<table><tr><td>Journal:</td><td>MATHEMATICAL FINANCE</td></tr><tr><td>ISSN:</td><td>0960-1627</td></tr><tr></tr></table>	-0.1937	-0.5989	1	6	12	68	0.984
143	"Performing food and nutritional security in Europe: claims, promises and limitations"	<table><tr><td>Journal:</td><td>MATHEMATICS OF OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0364-765X</td></tr><tr></tr></table>	0.3217	-0.7054	3	18	28	68	0.875
144	Nexus on climate change: agriculture and possible solution to cope future climate change stresses	<table><tr><td>Journal:</td><td>JOURNAL OF LAW & ECONOMICS</td></tr><tr><td>ISSN:</td><td>0022-2186</td></tr><tr></tr></table>	-0.7503	0.5	5	44	89	68	1.62
145	The cult of the amateur in agriculture threatens food security	<table><tr><td>Journal:</td><td>COMPUTATIONAL OPTIMIZATION AND APPLICATIONS</td></tr><tr><td>ISSN:</td><td>0926-6003</td></tr><tr></tr></table>	0.9471	-0.9476	3	10	31	67	0.851
146	Beyond Halal: Maqasid al-Shari’ah to Assess Bioethical Issues Arising from Genetically Modified Crops	<table><tr><td>Journal:</td><td>CONTEMPORARY ACCOUNTING RESEARCH</td></tr><tr><td>ISSN:</td><td>0823-9150</td></tr><tr></tr></table>	-1.0573	0.9564	5	20	91	66	1.219
147	"Worldwide Scientific Research on Nanotechnology: A Bibliometric Analysis of Tendencies, Funding, and Challenges"	<table><tr><td>Journal:</td><td>ECONOMIC DEVELOPMENT AND CULTURAL CHANGE</td></tr><tr><td>ISSN:</td><td>0013-0079</td></tr><tr></tr></table>	-0.6505	-0.1347	1	27	46	65	0.875
148	The impact of genetic modification of human foods in the 21st century A review	<table><tr><td>Journal:</td><td>ECONOMICS OF EDUCATION REVIEW</td></tr><tr><td>ISSN:</td><td>0272-7757</td></tr><tr></tr></table>	-0.4673	-0.2169	1	18	38	64	0.557
149	"Global Hunger: A Challenge to Agricultural, Food, and Nutritional Sciences"	<table><tr><td>Journal:</td><td>JOURNAL OF LAW ECONOMICS & ORGANIZATION</td></tr><tr><td>ISSN:</td><td>8756-6222</td></tr><tr></tr></table>	-0.5844	-0.155	1	18	33	64	1.488
150	Policy to support marine biotechnology-based solutions to global challenges	<table><tr><td>Journal:</td><td>DECISION SCIENCES</td></tr><tr><td>ISSN:</td><td>0011-7315</td></tr><tr></tr></table>	1.0035	0.0546	3	47	108	63	1.435
151	Stakeholder Attitudes Toward the Risks and Benefits of Agricultural Biotechnology in Developing Countries: A Comparison Between Mexico and the Philippines	<table><tr><td>Journal:</td><td>JOURNAL OF SERVICE RESEARCH</td></tr><tr><td>ISSN:</td><td>1094-6705</td></tr><tr></tr></table>	0.8964	0.1235	4	33	90	63	1.14
152	Ascendancy of agricultural biotechnology in the Australian political mainstream coexists with technology criticism by a vocal-minority	<table><tr><td>Journal:</td><td>CAMBRIDGE JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0309-166X</td></tr><tr></tr></table>	-0.3481	0.1242	1	36	48	62	0.7
153	Towards a smart biosafety regulation: The case of Kenya	<table><tr><td>Journal:</td><td>NAVAL RESEARCH LOGISTICS</td></tr><tr><td>ISSN:</td><td>0894-069X</td></tr><tr></tr></table>	0.9802	-0.7594	3	15	42	62	0.548
154	Formation of furan in baby food products: Identification and technical challenges	<table><tr><td>Journal:</td><td>IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0018-9391</td></tr><tr></tr></table>	0.9517	0.0676	4	32	65	62	0.962
155	The Microbiome: A Life Science Opportunity for Our Society and Our Planet	<table><tr><td>Journal:</td><td>PRODUCTION PLANNING & CONTROL</td></tr><tr><td>ISSN:</td><td>0953-7287</td></tr><tr></tr></table>	1.1031	-0.3347	3	24	52	62	0.561
156	Exploring Factors Affecting the Acceptance of Genetically Edited Food Among Youth in Japan	<table><tr><td>Journal:</td><td>ECONOMIC GEOGRAPHY</td></tr><tr><td>ISSN:</td><td>0013-0095</td></tr><tr></tr></table>	-0.1216	0.0489	1	15	32	61	2.065
157	Bioindustry in China: An overview and perspective	<table><tr><td>Journal:</td><td>ECONOMIC INQUIRY</td></tr><tr><td>ISSN:</td><td>0095-2583</td></tr><tr></tr></table>	-0.5605	-0.2061	1	36	52	60	0.535
158	Food safety lessons learned from the COVID‐19 pandemic	<table><tr><td>Journal:</td><td>ECONOMICS OF TRANSITION</td></tr><tr><td>ISSN:</td><td>0967-0750</td></tr><tr></tr></table>	-0.5253	-0.0977	1	31	50	57	0.736
159	Agency Perspectives on Food Safety for the Products of Animal Biotechnology	<table><tr><td>Journal:</td><td>FINANCIAL ANALYSTS JOURNAL</td></tr><tr><td>ISSN:</td><td>0015-198X</td></tr><tr></tr></table>	-0.3733	0.2022	5	24	31	57	0.72
160	Basic‐education mexican teachers' knowledge of biotechnology and attitudes about the consumption of genetically modified foods*	<table><tr><td>Journal:</td><td>OXFORD REVIEW OF ECONOMIC POLICY</td></tr><tr><td>ISSN:</td><td>0266-903X</td></tr><tr></tr></table>	-0.638	0.229	1	41	60	56	0.552
161	Psychosocial and cultural factors affecting the perceived risk of genetically modified food: an overview of the literature	<table><tr><td>Journal:</td><td>JOURNAL OF PRODUCT INNOVATION MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0737-6782</td></tr><tr></tr></table>	0.7941	0.1079	2	37	67	54	1.585
162	Public perceptions of biotechnology	<table><tr><td>Journal:</td><td>ORGANIZATIONAL RESEARCH METHODS</td></tr><tr><td>ISSN:</td><td>1094-4281</td></tr><tr></tr></table>	0.9757	0.7	2	16	28	53	2.548
163	"Development and application of modern agricultural biotechnology in Botswana: The potentials, opportunities and challenges"	<table><tr><td>Journal:</td><td>CALIFORNIA MANAGEMENT REVIEW</td></tr><tr><td>ISSN:</td><td>0008-1256</td></tr><tr></tr></table>	0.7058	0.2861	2	37	65	53	0.945
164	Genetically modified maize impacts in Honduras: production and social issues.	<table><tr><td>Journal:</td><td>INTERNATIONAL TAX AND PUBLIC FINANCE</td></tr><tr><td>ISSN:</td><td>0927-5940</td></tr><tr></tr></table>	-0.4651	-0.3163	1	15	26	53	0.757
165	Achieving food security in times of crisis	<table><tr><td>Journal:</td><td>QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL</td></tr><tr><td>ISSN:</td><td>0748-8017</td></tr><tr></tr></table>	1.1984	-0.6841	3	8	22	52	0.5
166	COVID 19: challenges for virologists in the food industry	<table><tr><td>Journal:</td><td>TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW</td></tr><tr><td>ISSN:</td><td>1366-5545</td></tr><tr></tr></table>	0.7606	-0.5478	3	21	39	51	1
167	Market strategies used by processed food manufacturers to increase and consolidate their power: a systematic review and document analysis	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC HISTORY</td></tr><tr><td>ISSN:</td><td>0022-0507</td></tr><tr></tr></table>	-0.5432	0.2006	1	34	58	50	1.015
168	Molecular plant responses to combined abiotic stresses put a spotlight on unknown and abundant genes.	<table><tr><td>Journal:</td><td>JOURNAL OF RISK AND UNCERTAINTY</td></tr><tr><td>ISSN:</td><td>0895-5646</td></tr><tr></tr></table>	-0.2077	-0.3494	1	17	35	49	1.122
169	"Status of research, regulations and challenges for genetically modified crops in India"	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE</td></tr><tr><td>ISSN:</td><td>1086-4415</td></tr><tr></tr></table>	0.9602	-0.0682	4	17	43	49	1.186
170	Estimating food production in an urban landscape	<table><tr><td>Journal:</td><td>JOURNAL OF SMALL BUSINESS MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0047-2778</td></tr><tr></tr></table>	0.5269	0.4075	2	32	60	47	0.703
171	Assessing Food System Attitudes Among Youth: Development and Evaluation of Attitude Measures	<table><tr><td>Journal:</td><td>LABOUR ECONOMICS</td></tr><tr><td>ISSN:</td><td>0927-5371</td></tr><tr></tr></table>	-0.686	-0.0388	1	25	37	47	0.671
172	"The Social Stratification of Availability, Affordability, and Consumption of Food in Families with Preschoolers in Addis Ababa; The EAT Addis Study in Ethiopia"	<table><tr><td>Journal:</td><td>SCANDINAVIAN JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0347-0520</td></tr><tr></tr></table>	-0.8021	-0.2607	1	28	43	47	0.676
173	"Investigating the status of transgenic crops in Iran in terms of cultivation, consumption, laws and rights in comparison with the world"	<table><tr><td>Journal:</td><td>JOURNAL OF COMPARATIVE ECONOMICS</td></tr><tr><td>ISSN:</td><td>0147-5967</td></tr><tr></tr></table>	-0.6658	-0.1145	1	19	37	46	0.691
174	Human security as biosecurity	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING</td></tr><tr><td>ISSN:</td><td>0167-8116</td></tr><tr></tr></table>	0.4251	-0.0719	4	26	49	45	1.071
175	Developing biotechnology around the world	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC ISSUES</td></tr><tr><td>ISSN:</td><td>0021-3624</td></tr><tr></tr></table>	-0.4139	0.1668	1	44	50	45	0.47
176	Increasing homogeneity in global food supplies and the implications for food security	<table><tr><td>Journal:</td><td>ECONOMIC MODELLING</td></tr><tr><td>ISSN:</td><td>0264-9993</td></tr><tr></tr></table>	-0.7425	-0.3645	1	25	50	44	0.375
177	Safe‐by‐Design: Stakeholders’ Perceptions and Expectations of How to Deal with Uncertain Risks of Emerging Biotechnologies in the Netherlands	<table><tr><td>Journal:</td><td>JOURNAL OF INDUSTRIAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0022-1821</td></tr><tr></tr></table>	-0.2417	-0.1373	1	28	34	43	0.86
178	Food systems transition and disruptive low carbon innovation: implications for a food security research agenda	<table><tr><td>Journal:</td><td>LONG RANGE PLANNING</td></tr><tr><td>ISSN:</td><td>0024-6301</td></tr><tr></tr></table>	0.8498	0.6175	2	21	34	43	1.667
179	First generation biofuels compete	<table><tr><td>Journal:</td><td>WORLD BANK ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0258-6770</td></tr><tr></tr></table>	-0.8046	-0.1391	1	20	31	43	1.263
180	A review of biotechnological approaches towards crop improvement in African yam bean (Sphenostylis stenocarpa Hochst. Ex A. Rich.)	<table><tr><td>Journal:</td><td>JOURNAL OF RETAILING</td></tr><tr><td>ISSN:</td><td>0022-4359</td></tr><tr></tr></table>	0.7942	0.0465	4	16	36	42	2.054
181	"An overview of genetically modified crop governance, issues and challenges in Malaysia"	<table><tr><td>Journal:</td><td>FINANCIAL MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0046-3892</td></tr><tr></tr></table>	-0.4211	0.7321	5	32	67	42	1
182	Integrating the dynamics of yield traits in rice in response to environmental changes.	<table><tr><td>Journal:</td><td>RESOURCE AND ENERGY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0928-7655</td></tr><tr></tr></table>	-0.1176	-0.4786	1	17	25	41	1.05
183	Balanced diets in food systems: Emerging trends and challenges for human health	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT INQUIRY</td></tr><tr><td>ISSN:</td><td>1056-4926</td></tr><tr></tr></table>	0.5188	0.8381	2	19	37	40	1.338
184	The economic and environmental benefits analysis for food waste anaerobic treatment: a case study in Beijing	<table><tr><td>Journal:</td><td>JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS</td></tr><tr><td>ISSN:</td><td>0895-5638</td></tr><tr></tr></table>	0.3594	-0.5257	3	19	22	40	0.372
185	Is the European attitude to GM products suffocating African development?	<table><tr><td>Journal:</td><td>JOURNAL OF REGULATORY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0922-680X</td></tr><tr></tr></table>	-0.4569	-0.2576	1	16	32	40	0.548
186	Effect of ultraprocessed food intake on cardiometabolic risk is mediated by diet quality: a cross-sectional study	<table><tr><td>Journal:</td><td>REVIEW OF DEVELOPMENT ECONOMICS</td></tr><tr><td>ISSN:</td><td>1363-6669</td></tr><tr></tr></table>	-0.6734	-0.1397	1	27	37	40	0.55
187	"Norovirus infections and knowledge, attitudes and practices in food safety among food handlers in an informal urban settlement, Kenya 2017"	<table><tr><td>Journal:</td><td>GROUP & ORGANIZATION MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1059-6011</td></tr><tr></tr></table>	0.9444	0.7568	2	12	22	39	0.787
188	Chemical Contamination Pathways and the Food Safety Implications along the Various Stages of Food Production: A Review	<table><tr><td>Journal:</td><td>HUMAN RESOURCE MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0090-4848</td></tr><tr></tr></table>	0.6427	0.6114	2	19	32	39	0.642
189	The importance of harmonizing food composition data across Europe	<table><tr><td>Journal:</td><td>SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL</td></tr><tr><td>ISSN:</td><td>1359-8546</td></tr><tr></tr></table>	0.846	-0.1774	3	24	40	39	0.913
190	Attitudes to genetically modified food over time: How trust in organizations and the media cycle predict support	<table><tr><td>Journal:</td><td>INTERFACES</td></tr><tr><td>ISSN:</td><td>0092-2102</td></tr><tr></tr></table>	1.1116	-0.7972	3	10	24	39	0.575
191	Experiences in sub-Saharan Africa with GM crop risk communication	<table><tr><td>Journal:</td><td>OXFORD ECONOMIC PAPERS-NEW SERIES</td></tr><tr><td>ISSN:</td><td>0030-7653</td></tr><tr></tr></table>	-0.6029	0.0327	1	36	47	38	0.645
192	"Balancing a sustained pursuit of nutrition, health, affordability and climate goals: exploring the case of Indonesia"	<table><tr><td>Journal:</td><td>INTERNATIONAL SMALL BUSINESS JOURNAL</td></tr><tr><td>ISSN:</td><td>0266-2426</td></tr><tr></tr></table>	0.6615	0.5312	2	22	43	38	1.25
193	Spontaneously fermented traditional beverages as a source of bioactive compounds: an overview	<table><tr><td>Journal:</td><td>JOURNAL OF POPULATION ECONOMICS</td></tr><tr><td>ISSN:</td><td>0933-1433</td></tr><tr></tr></table>	-0.7684	-0.0425	1	15	26	38	0.487
194	The International Scientific Association for Probiotics and Prebiotics (ISAPP) consensus statement on fermented foods	<table><tr><td>Journal:</td><td>JOURNAL OF POLICY MODELING</td></tr><tr><td>ISSN:</td><td>0161-8938</td></tr><tr></tr></table>	-0.6948	-0.2887	1	18	22	38	0.279
195	One CGIAR and the Integrated Agri-food Systems Initiative: From short-termism to transformation of the world’s food systems	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF SERVICE INDUSTRY MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0956-4233</td></tr><tr></tr></table>	0.8636	0.1005	4	15	30	38	0.804
196	The Nutrition and Health Status of Residents of the Northern Regions of Russia: Outlook of Vertical Agricultural Farms	<table><tr><td>Journal:</td><td>AUDITING-A JOURNAL OF PRACTICE & THEORY</td></tr><tr><td>ISSN:</td><td>0278-0380</td></tr><tr></tr></table>	-1.0221	0.9565	5	11	39	38	0.71
197	Responding to globalised food‐borne disease: risk assessment as post‐normal science	<table><tr><td>Journal:</td><td>TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE</td></tr><tr><td>ISSN:</td><td>1478-3363</td></tr><tr></tr></table>	0.7027	0.0579	4	21	33	37	0.278
198	The Food Systems Summit’s Failure to Address Corporate Power	<table><tr><td>Journal:</td><td>EXPLORATIONS IN ECONOMIC HISTORY</td></tr><tr><td>ISSN:</td><td>0014-4983</td></tr><tr></tr></table>	-0.5294	0.1965	1	33	57	37	0.667
199	Agricultural biotechnology and smallholder farmers in developing countries	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCIAL INTERMEDIATION</td></tr><tr><td>ISSN:</td><td>1042-9573</td></tr><tr></tr></table>	-0.8462	0.3758	5	18	51	35	0.805
200	The First GCC Marine Biotechnology Symposium: Emerging Opportunities and Future Perspectives	<table><tr><td>Journal:</td><td>JOURNAL OF WORLD BUSINESS</td></tr><tr><td>ISSN:</td><td>1090-9516</td></tr><tr></tr></table>	0.795	0.524	2	18	38	35	0.69
201	General aspects on the assessment of functional foods in the European Union	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0267-5730</td></tr><tr></tr></table>	0.6321	0.3013	2	28	43	35	0.356
202	Responses to GM food content in context with food integrity issues: results from Australian population surveys	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC GROWTH</td></tr><tr><td>ISSN:</td><td>1381-4338</td></tr><tr></tr></table>	-0.8756	-0.1674	1	19	31	34	2.292
203	Public perception of genetically-modified (GM) food: A Nationwide Chinese Consumer Study	<table><tr><td>Journal:</td><td>EUROPEA<N FINANCIAL MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1354-7798</td></tr><tr></tr></table>	-0.7703	0.5757	5	18	35	34	0.717
204	Consumer Trust in Food and the Food System: A Critical Review	<table><tr><td>Journal:</td><td>BUSINESS ETHICS QUARTERLY</td></tr><tr><td>ISSN:</td><td>1052-150X</td></tr><tr></tr></table>	0.3496	0.6128	2	15	31	33	0.594
205	Capacity building in food composition for Africa	<table><tr><td>Journal:</td><td>MARKETING LETTERS</td></tr><tr><td>ISSN:</td><td>0923-0645</td></tr><tr></tr></table>	0.3334	-0.1028	4	20	43	33	0.672
206	The power to convene: making sense of the power of food movement organizations in governance processes in the Global North	<table><tr><td>Journal:</td><td>STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS</td></tr><tr><td>ISSN:</td><td>1081-1826</td></tr><tr></tr></table>	-0.8324	-0.3482	1	15	21	33	0.593
